User-ID,bookID,Book-Rating
276725,1,4.57
276726,2,4.49
276727,4,4.42
276729,5,4.56
276729,8,4.78
276733,9,3.74
276736,10,4.73
276737,12,4.38
276744,13,4.38
276745,14,4.22
276746,16,4.22
276746,18,4.38
276746,21,4.21
276746,22,3.44
276746,23,3.87
276746,24,4.07
276747,25,3.9
276747,26,3.83
276747,27,3.86
276747,28,3.91
276747,29,3.93
276747,30,4.59
276747,31,4.5
276747,34,4.36
276748,35,4.5
276748,36,4.53
276751,37,4.5
276751,45,3.84
276754,50,3.72
276755,51,4
276760,53,3.88
276762,54,4.33
276762,55,3.45
276762,57,3.76
276762,58,3.6
276762,59,4.06
276762,61,4.17
276762,63,3.55
276762,66,3.98
276762,67,3.83
276762,68,3.83
276762,69,3.83
276762,71,3.83
276762,72,4.13
276762,74,4.42
276762,75,3.95
276762,76,4.17
276762,77,4.24
276762,78,4.34
276762,79,4.22
276762,80,3.92
276762,81,4.23
276762,83,4.23
276762,85,3.75
276762,86,3.84
276762,89,3.94
276765,90,3.77
276768,91,4.46
276772,92,3.68
276772,93,3.99
276772,94,3.25
276772,96,4.46
276772,98,3.89
276774,99,3.82
276774,100,3.78
276774,103,3.84
276774,105,3.91
276774,106,3.88
276780,107,4.01
276780,109,3.86
276780,110,3.88
276786,117,3.86
276786,119,4.59
276786,122,4.35
276786,123,4.35
276786,129,4.28
276786,130,3.34
276786,131,3.67
276786,132,3.48
276786,133,3.5
276786,135,3.62
276786,137,3.55
276786,138,4.27
276788,139,3.39
276788,140,3.89
276788,141,3.84
276796,142,4.12
276796,144,4.08
276798,147,3.48
276798,151,4.05
276798,152,4.05
276798,153,4.05
276798,154,3.85
276798,155,4.05
276798,156,4.05
276798,157,4.05
276798,159,2.99
276798,160,4.19
276798,162,3.71
276798,163,3.95
276800,164,3.89
276800,165,3.82
276800,166,4.2
276800,168,3.65
276800,171,3.4
276800,177,4
276803,180,4.01
276804,181,4
276804,182,3.6
276804,201,4
276806,204,4.12
276806,205,4.11
276808,207,3.94
276811,208,3.6
276812,213,3.9
276813,214,4.05
276813,216,3.94
276813,230,3.89
276813,231,3.42
276813,237,3.91
276813,244,4.02
276813,245,4.22
276813,247,3.69
276813,249,3.68
276813,250,3.78
276813,251,4.1
276813,252,3.98
276814,253,3.83
276814,264,3.78
276814,269,3.78
276817,277,3.75
276820,278,3.85
276820,280,3.66
276822,285,3.68
276822,288,4.21
276822,289,4.19
276822,290,3.98
276822,291,3.92
276822,292,4.08
276822,295,3.83
276822,296,3.83
276822,297,3.83
276822,298,3.83
276822,299,3.83
276822,302,4.05
276822,313,4.61
276822,324,4.07
276822,330,4.04
276822,332,3.6
276827,333,3.44
276828,337,4.02
276828,348,4.01
276828,350,3.92
276828,354,3.87
276828,355,3.78
276828,356,3.97
276828,357,4.06
276828,359,3.93
276828,362,4.14
276828,367,3.6
276828,377,3.93
276828,382,4.13
276828,385,3.57
276830,386,3.78
276832,394,4.14
276832,397,4.53
276833,399,3.92
276835,400,3.99
276837,403,3.43
276838,404,3.43
276840,406,3.22
276840,407,3.48
276842,408,3.64
276847,409,4.13
276847,410,3.96
276847,411,3.69
276847,412,4.01
276847,413,4.07
276847,414,3.69
276847,415,4.01
276847,416,3.5
276847,418,3.8
276847,420,3.89
276847,421,4.17
276847,422,3.8
276847,423,3.86
276847,424,4.21
276847,425,3.81
276847,426,4.5
276847,428,3.87
276847,431,3.89
276847,432,3.79
276847,434,3.64
276847,435,3.89
276847,444,3.89
276847,446,3.84
276847,447,3.94
276847,453,3.9
276847,454,3.23
276847,456,3.96
276847,463,3.77
276847,466,4.38
276847,475,3.93
276847,476,3.4
276847,477,4.15
276847,478,3.8
276847,481,3.91
276847,484,4.39
276847,493,4.01
276847,494,3.78
276847,497,3.93
276847,498,4.13
276847,511,3.77
276847,515,4.03
276847,523,3.95
276847,524,3.68
276847,531,4.11
276847,534,4.14
276847,537,3.81
276847,538,3.81
276847,539,3.8
276847,565,3.98
276847,570,3.8
276847,576,3.85
276848,597,3.81
276848,599,3.73
276848,619,3.51
276848,629,3.77
276848,639,4.08
276848,642,3.72
276848,643,3.85
276848,650,3.93
276848,655,4.11
276848,656,4.11
276848,658,4.13
276848,662,3.69
276848,663,3.68
276848,664,3.87
276850,665,3.51
276852,667,3.63
276852,668,3.91
276853,669,3.88
276853,670,3.96
276854,672,3.95
276854,675,3.88
276854,676,4.23
276856,678,3.62
276856,681,3.09
276856,685,3.63
276856,698,3.55
276856,700,3.77
276856,702,3.59
276856,703,3.77
276856,707,3.59
276856,759,4.19
276856,762,3.97
276856,763,4.07
276856,764,3.98
276856,765,3.99
276856,766,3.6
276856,771,4.07
276856,775,4.29
276856,787,3.75
276856,793,3.83
276856,797,4.03
276856,799,0
276856,815,3.88
276856,816,4.25
276857,821,4.1
276859,822,4.26
276859,823,3.93
276859,824,3.61
276859,826,3.25
276859,827,4.19
276859,828,3.68
276859,829,4.2
276859,830,4.03
276859,834,4.16
276859,835,4.24
276859,840,4.17
276859,841,3.95
276859,842,4.17
276859,848,4.27
276859,864,3.86
276859,865,3.86
